"tBodyAcc.mean...X" "tBodyAcc.mean...Y" "tBodyAcc.mean...Z" "tGravityAcc.mean...X" "tGravityAcc.mean...Y" "tGravityAcc.mean...Z" "tBodyAccJerk.mean...X" "tBodyAccJerk.mean...Y" "tBodyAccJerk.mean...Z" "tBodyGyro.mean...X" "tBodyGyro.mean...Y" "tBodyGyro.mean...Z" "tBodyGyroJerk.mean...X" "tBodyGyroJerk.mean...Y" "tBodyGyroJerk.mean...Z" "tBodyAccMag.mean.." "tGravityAccMag.mean.." "tBodyAccJerkMag.mean.." "tBodyGyroMag.mean.." "tBodyGyroJerkMag.mean.." "fBodyAcc.mean...X" "fBodyAcc.mean...Y" "fBodyAcc.mean...Z" "fBodyAccJerk.mean...X" "fBodyAccJerk.mean...Y" "fBodyAccJerk.mean...Z" "fBodyGyro.mean...X" "fBodyGyro.mean...Y" "fBodyGyro.mean...Z" "fBodyAccMag.mean.." "fBodyBodyAccJerkMag.mean.." "fBodyBodyGyroMag.mean.." "fBodyBodyGyroJerkMag.mean.."
"28" 0.14450396 0.18926326 0.062769317 0.87409866 0.042479149 0.33309449 0.13805762 -0.34777099 -0.33527233 -0.046489666 -0.28289794 0.22948437 -0.11571413 -0.066663019 0.01633599 -0.5543692 -0.5543692 -0.97526798 -0.8738801 -0.99023484 -0.92128754 -0.43277861 -0.61401743 -0.98209043 -0.96914184 -0.9815657 -0.967536 -0.9690438 -0.89992251 -0.44662992 -0.97565857 -0.97506987 -0.98331724
"29" 0.28725164 -0.037455064 -0.14597431 0.83566368 0.16067501 0.39982173 0.089548399 -0.034317974 0.0030597368 -0.04840838 -0.23917386 0.24705037 -0.094242126 -0.022414444 -0.06697056 -0.93459377 -0.93459377 -0.99288968 -0.89520271 -0.99808771 -0.98612352 -0.9319656 -0.97975316 -0.99252438 -0.98909638 -0.99178965 -0.9938543 -0.97978496 -0.97820971 -0.95362658 -0.99476974 -0.96970623 -0.99858976
"30" 0.2799976 -0.019484036 -0.10572355 0.83695957 0.15187734 0.38646765 0.071215441 0.044244119 0.020358157 -0.039411936 -0.16674787 0.18301929 -0.095291208 -0.026020031 -0.078193929 -0.97699498 -0.97699498 -0.99423479 -0.94096567 -0.99886254 -0.99293691 -0.95749137 -0.98337133 -0.99433646 -0.99333255 -0.99017788 -0.99528558 -0.98342481 -0.96993296 -0.97670695 -0.99398527 -0.96972021 -0.99897315
"31" 0.22184689 0.034107675 -0.12361242 0.83878762 0.15070183 0.38345181 -0.013591322 0.12068585 0.22870415 -0.037731641 0.021333829 0.076579313 -0.016521407 -0.065023681 -0.15063907 -0.81575864 -0.81575864 -0.91387886 -0.68190845 -0.9175591 -0.80764453 -0.76550533 -0.67628885 -0.88214836 -0.85881998 -0.90403706 -0.74866144 -0.69737845 -0.65352471 -0.61264851 -0.86032147 -0.60433533 -0.87086437
"32" -0.041701306 0.17510248 0.025551778 0.81080506 0.19559534 0.38713197 0.050456562 0.090830365 0.0053317431 -0.0038232806 0.019187316 -0.050212092 -0.095521677 -0.067817006 -0.040522627 -0.50739668 -0.50739668 -0.86678801 -0.59287987 -0.88878839 -0.81335631 -0.70656744 -0.70433301 -0.8667756 -0.84357581 -0.89207213 -0.77404985 -0.6872257 -0.68464064 -0.68219367 -0.85131788 -0.65163072 -0.87238357
"33" 0.013903671 0.15329608 0.016242945 0.70308608 0.31406786 0.43977403 0.17843808 -0.11966443 -0.25914034 -0.0045972195 -0.15669611 0.060405191 -0.18174043 -0.014079617 0.047204388 -0.62102725 -0.62102725 -0.94302661 -0.85361742 -0.9660986 -0.85010909 -0.76166325 -0.72770498 -0.92109636 -0.93762977 -0.94925418 -0.88630279 -0.91679646 -0.78006986 -0.69185852 -0.91377977 -0.85722556 -0.94761761
"34" 0.30368927 -0.0042428053 -0.15085028 0.6182581 0.40950272 0.4812985 0.098998778 -0.074612565 -0.0073366086 -0.042681542 -0.15263343 0.20315388 -0.10305335 -0.011939118 -0.062791658 -0.91595384 -0.91595384 -0.99107291 -0.93617751 -0.99314699 -0.9677791 -0.87902803 -0.98069583 -0.98835635 -0.98103161 -0.99519463 -0.9939928 -0.97374029 -0.98158671 -0.90549594 -0.99033636 -0.96910523 -0.98956557
"35" 0.29075969 -0.02403476 -0.11673889 0.6220655 0.41986657 0.46862799 0.062975489 0.03415889 0.033170611 -0.041556713 -0.11325798 0.1566043 -0.095537878 -0.035066258 -0.068364914 -0.97480504 -0.97480504 -0.99684513 -0.96385423 -0.99679493 -0.98339322 -0.97465043 -0.97488987 -0.99375401 -0.99063849 -0.99841352 -0.9980739 -0.9912576 -0.98090949 -0.96861566 -0.99554762 -0.98475673 -0.9958058
"36" 0.27090823 -0.014412968 -0.10652245 0.62745102 0.41503721 0.46423103 0.075591498 0.011694892 -0.0072211967 -0.035457677 -0.091001714 0.11779396 -0.095751535 -0.036409127 -0.065751415 -0.99523836 -0.99523836 -0.99763638 -0.98430476 -0.99703141 -0.99597643 -0.99340829 -0.99489744 -0.99732906 -0.99224316 -0.99601381 -0.99696281 -0.99334008 -0.98624004 -0.99683806 -0.99778629 -0.991537 -0.99608502
"37" 0.2795534 -0.017001147 -0.11051668 0.62532313 0.41648854 0.46494774 0.072773826 0.0035293806 -0.00060033363 -0.030919137 -0.074625079 0.094283835 -0.096390151 -0.03903317 -0.061621011 -0.99906744 -0.99906744 -0.99661376 -0.99388844 -0.99658655 -0.99612732 -0.99272576 -0.99818451 -0.99670618 -0.99155288 -0.99688883 -0.99872231 -0.99296995 -0.99091693 -0.99835502 -0.99779214 -0.99410838 -0.99603174
