"tBodyAcc.mean...X" "tBodyAcc.mean...Y" "tBodyAcc.mean...Z" "tGravityAcc.mean...X" "tGravityAcc.mean...Y" "tGravityAcc.mean...Z" "tBodyAccJerk.mean...X" "tBodyAccJerk.mean...Y" "tBodyAccJerk.mean...Z" "tBodyGyro.mean...X" "tBodyGyro.mean...Y" "tBodyGyro.mean...Z" "tBodyGyroJerk.mean...X" "tBodyGyroJerk.mean...Y" "tBodyGyroJerk.mean...Z" "tBodyAccMag.mean.." "tGravityAccMag.mean.." "tBodyAccJerkMag.mean.." "tBodyGyroMag.mean.." "tBodyGyroJerkMag.mean.." "fBodyAcc.mean...X" "fBodyAcc.mean...Y" "fBodyAcc.mean...Z" "fBodyAccJerk.mean...X" "fBodyAccJerk.mean...Y" "fBodyAccJerk.mean...Z" "fBodyGyro.mean...X" "fBodyGyro.mean...Y" "fBodyGyro.mean...Z" "fBodyAccMag.mean.." "fBodyBodyAccJerkMag.mean.." "fBodyBodyGyroMag.mean.." "fBodyBodyGyroJerkMag.mean.."
"1" 0.28858451 -0.020294171 -0.13290514 0.96339614 -0.14083968 0.11537494 0.077996345 0.0050008031 -0.067830808 -0.0061008489 -0.031364791 0.1077254 -0.0991674 -0.055517369 -0.061985797 -0.95943388 -0.95943388 -0.99330586 -0.96895908 -0.99424782 -0.99478319 -0.9829841 -0.93926865 -0.99233245 -0.98716991 -0.98969609 -0.98657442 -0.98176153 -0.98951478 -0.95215466 -0.99372565 -0.98013485 -0.99199044
"2" 0.27841883 -0.016410568 -0.12352019 0.96656113 -0.14155127 0.10937881 0.074006709 0.0057711041 0.029376633 -0.01611162 -0.083893777 0.10058429 -0.11050283 -0.044818731 -0.059242822 -0.97928915 -0.97928915 -0.99125349 -0.98068314 -0.9951232 -0.99745072 -0.97685173 -0.97352267 -0.99503222 -0.98131147 -0.98973975 -0.97738671 -0.99253003 -0.98960578 -0.98085662 -0.99033549 -0.98829555 -0.99585386
"3" 0.27965306 -0.019467156 -0.11346169 0.9668781 -0.14200984 0.10188392 0.073635962 0.0031040366 -0.0090456308 -0.031698294 -0.10233542 0.096126876 -0.10848567 -0.042410306 -0.055828829 -0.98370313 -0.98370313 -0.98853127 -0.97631707 -0.99340322 -0.99359409 -0.97251146 -0.98330396 -0.9909937 -0.98164225 -0.98756628 -0.97543322 -0.99371467 -0.9867557 -0.98779477 -0.98928007 -0.98925477 -0.9950305
"4" 0.27917394 -0.026200646 -0.12328257 0.96761519 -0.14397645 0.099850143 0.077320614 0.020057642 -0.0098647722 -0.043409983 -0.091386182 0.085537699 -0.091169889 -0.03633262 -0.06046466 -0.98654176 -0.98654176 -0.99307804 -0.98205988 -0.99550216 -0.99549062 -0.98356972 -0.99107978 -0.99444663 -0.98872722 -0.99135422 -0.98710958 -0.99360151 -0.98719126 -0.98751866 -0.99276892 -0.9894128 -0.99522071
"5" 0.27662877 -0.016569655 -0.11536185 0.9682244 -0.14875022 0.094485896 0.073444363 0.019121574 0.016779979 -0.033960416 -0.074708034 0.077392035 -0.090770099 -0.037632533 -0.058289319 -0.99282715 -0.99282715 -0.99348 -0.98520373 -0.99580756 -0.99728592 -0.98230099 -0.98836944 -0.99629204 -0.98879002 -0.99062442 -0.98244648 -0.9929838 -0.98866644 -0.99359085 -0.99552281 -0.99143303 -0.99509278
"6" 0.27719877 -0.01009785 -0.10513725 0.9679482 -0.14820997 0.091909715 0.077932436 0.018684046 0.0093444336 -0.028775508 -0.070393108 0.079012142 -0.094247582 -0.043355261 -0.041935999 -0.99429499 -0.99429499 -0.9930177 -0.9858944 -0.99527476 -0.99665675 -0.9869395 -0.9927386 -0.99485071 -0.98824433 -0.99015748 -0.98489022 -0.99278621 -0.9807784 -0.99483599 -0.99473292 -0.99050002 -0.99514331
"7" 0.27945388 -0.019640776 -0.11002215 0.9679295 -0.14428214 0.093144628 0.082170765 -0.01701467 -0.015798166 -0.028600251 -0.083046734 0.095464555 -0.097088606 -0.041589277 -0.044704559 -0.9874657 -0.9874657 -0.9913143 -0.98550069 -0.99371877 -0.99584913 -0.96761161 -0.98412325 -0.99475512 -0.98324029 -0.98733724 -0.98602735 -0.99049909 -0.97845604 -0.98213471 -0.9878858 -0.9882692 -0.99564148
"8" 0.27743247 -0.030488303 -0.12536043 0.96849148 -0.14670536 0.091708159 0.072364228 0.0087478559 -0.0044681354 -0.024200262 -0.07789261 0.094095607 -0.10316236 -0.035546068 -0.063208931 -0.97745766 -0.97745766 -0.99085085 -0.98450563 -0.99429068 -0.99519276 -0.97429127 -0.98865193 -0.99494703 -0.9807555 -0.99083807 -0.98733016 -0.99001425 -0.98036083 -0.98218413 -0.98985144 -0.98943061 -0.99562912
"9" 0.27729342 -0.021750698 -0.12075082 0.96848115 -0.15437401 0.085118255 0.075284365 0.030762704 0.01121195 -0.024831025 -0.066401639 0.077862982 -0.1006944 -0.047715247 -0.067720045 -0.98363087 -0.98363087 -0.99332542 -0.98936978 -0.99584954 -0.99709991 -0.96820527 -0.99063224 -0.99669274 -0.98019053 -0.99630723 -0.98909792 -0.99196691 -0.98402803 -0.9831308 -0.99207263 -0.99162928 -0.99526037
"10" 0.28058569 -0.0099602983 -0.10606516 0.96841804 -0.15630201 0.08087447 0.076369318 0.012518906 0.0030843751 -0.0234154 -0.070925683 0.078975843 -0.098429383 -0.043540216 -0.048562914 -0.98677197 -0.98677197 -0.98538815 -0.98452436 -0.98979927 -0.99351933 -0.97031864 -0.98609566 -0.99153425 -0.97084854 -0.98677551 -0.98177767 -0.98800114 -0.97745298 -0.98499403 -0.98231683 -0.98478793 -0.99098121
"11" 0.27688027 -0.012721805 -0.10343832 0.96920266 -0.15236144 0.081258077 0.07139686 0.016842441 0.0010303821 -0.024708255 -0.068884585 0.085481775 -0.099442952 -0.032515146 -0.045512651 -0.98804033 -0.98804033 -0.98441139 -0.9852507 -0.99126117 -0.99288633 -0.970608 -0.98367242 -0.99098572 -0.97345576 -0.9817322 -0.98191251 -0.98782272 -0.97727189 -0.98569656 -0.98476304 -0.98345836 -0.99131428
