"tBodyAcc.mean...X" "tBodyAcc.mean...Y" "tBodyAcc.mean...Z" "tGravityAcc.mean...X" "tGravityAcc.mean...Y" "tGravityAcc.mean...Z" "tBodyAccJerk.mean...X" "tBodyAccJerk.mean...Y" "tBodyAccJerk.mean...Z" "tBodyGyro.mean...X" "tBodyGyro.mean...Y" "tBodyGyro.mean...Z" "tBodyGyroJerk.mean...X" "tBodyGyroJerk.mean...Y" "tBodyGyroJerk.mean...Z" "tBodyAccMag.mean.." "tGravityAccMag.mean.." "tBodyAccJerkMag.mean.." "tBodyGyroMag.mean.." "tBodyGyroJerkMag.mean.." "fBodyAcc.mean...X" "fBodyAcc.mean...Y" "fBodyAcc.mean...Z" "fBodyAccJerk.mean...X" "fBodyAccJerk.mean...Y" "fBodyAccJerk.mean...Z" "fBodyGyro.mean...X" "fBodyGyro.mean...Y" "fBodyGyro.mean...Z" "fBodyAccMag.mean.." "fBodyBodyAccJerkMag.mean.." "fBodyBodyGyroMag.mean.." "fBodyBodyGyroJerkMag.mean.."
"79" 0.28202157 -0.037696218 -0.1348973 0.94530277 -0.24594143 -0.032164781 -0.15648565 -0.14285296 -0.11307869 -0.47972952 0.082034033 0.25644309 0.094248032 -0.47621005 -0.14213364 -0.22455962 -0.22455962 -0.28942433 -0.034395601 -0.46614969 -0.26090491 -0.1225668 -0.33121596 -0.21046447 -0.26352811 -0.53570907 -0.18478068 -0.19802441 -0.30755844 -0.16681083 -0.15404481 -0.22217604 -0.43183165
"80" 0.25584075 -0.064550029 -0.095186339 0.941113 -0.25203524 -0.032883452 -0.2075541 0.35784284 -0.45240093 0.094091481 -0.30915291 0.086441165 0.16674262 -0.033796125 -0.089260236 -0.12650269 -0.12650269 -0.13850122 -0.14093823 -0.38991977 -0.15111525 -0.029049967 -0.25730713 -0.17833844 -0.12083878 -0.49894754 -0.20450954 -0.24583137 -0.31117804 -0.079277624 -0.17844557 -0.26827982 -0.42818587
"81" 0.25486723 0.0038147234 -0.12365809 0.9463639 -0.2642781 -0.025575066 0.20160447 0.41708229 0.13907817 0.21120057 -0.27290542 0.10198601 -0.1632255 -0.0055604084 -0.23155479 -0.16010001 -0.16010001 -0.19435478 -0.094593563 -0.37415066 -0.23040737 0.025426852 -0.37731132 -0.19265346 -0.10961071 -0.52564781 -0.31708155 -0.2081588 -0.18579836 -0.15631258 -0.14943801 -0.30867072 -0.40103832
"82" 0.34337048 -0.014446221 -0.16737697 0.95244515 -0.25983791 -0.026131065 0.33608453 -0.46414358 -0.0050257445 0.096081738 -0.16339425 0.025859464 -0.054628854 0.34028929 -0.26967159 -0.07351308 -0.07351308 -0.12948008 -0.049340623 -0.23647406 -0.15132288 0.1952672 -0.32123865 -0.18341895 -0.025971976 -0.48742267 -0.16221058 0.026553035 -0.18046872 -0.10437689 -0.13222215 -0.06013149 -0.21766885
"83" 0.27623973 -0.029638413 -0.14261631 0.94712514 -0.25710034 -0.028422611 -0.23562339 -0.11177723 0.1726546 0.0087423875 0.011660578 0.0041745148 -0.075668238 0.17146688 0.13645072 -0.04949205 -0.04949205 -0.1598686 -0.021410464 -0.22009657 -0.22580363 0.11028848 -0.20488317 -0.28524022 -0.011101847 -0.42589499 -0.23710582 0.047211246 -0.2579581 -0.12319532 -0.11608747 -0.0038214657 -0.18755095
"84" 0.25546822 0.021219063 -0.048949431 0.94574875 -0.25477781 -0.026521446 0.11592991 0.23466731 0.36150518 -0.0425566 0.097617796 0.084655454 -0.33244254 -0.40624756 0.23877062 -0.077394435 -0.077394435 -0.2060086 -0.13887531 -0.3038356 -0.29042868 0.057822283 -0.24835735 -0.29804684 -0.051726769 -0.43348651 -0.34753471 -0.035159614 -0.33384574 -0.20002501 -0.15902098 -0.17453126 -0.33835881
"85" 0.32113983 0.0015817951 -0.043553705 0.95021213 -0.24482976 -0.023627905 0.30483318 -0.094993043 -0.36239501 -0.037246509 -0.097676458 0.13248328 -0.25613684 -0.19043807 -0.010926571 -0.09549311 -0.09549311 -0.1466642 -0.19638987 -0.32711536 -0.16356217 -0.041627698 -0.25329234 -0.16775317 -0.1498672 -0.45649574 -0.39590549 -0.14616569 -0.27622589 -0.14847221 -0.13543936 -0.26831853 -0.3971911
"86" 0.2346659 -0.049547719 -0.11175723 0.94913033 -0.23690505 -0.022201127 -0.2091684 0.17500548 -0.42042207 -0.016108606 -0.2247527 0.14882964 0.064369619 -0.068501754 -0.20808194 -0.11344328 -0.11344328 -0.097063034 -0.14638251 -0.30373917 -0.18777314 -0.0046568174 -0.2686715 -0.17170095 -0.12720584 -0.4353911 -0.32008271 -0.10693741 -0.22430549 -0.11082694 -0.088076196 -0.24418375 -0.35354882
"87" 0.31263404 -0.026367749 -0.13095121 0.94691727 -0.26205559 -0.020235796 -0.094394668 0.013017354 -0.30579489 -0.23928593 0.078229978 0.043137262 0.034467284 -0.34622965 0.19077019 -0.1696296 -0.1696296 -0.28756092 -0.21472204 -0.46434627 -0.2749068 -0.062349562 -0.31909457 -0.32488554 -0.15821185 -0.56272771 -0.3276796 -0.25778599 -0.35621853 -0.25871717 -0.21590346 -0.30917911 -0.47289324
"88" 0.2769154 -0.03548621 -0.080569176 0.94686993 -0.25580058 -0.035627962 -0.17405369 -0.044309143 -0.31650894 -0.070738847 -0.11881544 0.14989071 0.18603411 -0.33257964 -0.02649704 -0.10747234 -0.10747234 -0.16292627 -0.17879454 -0.39277622 -0.23624459 0.10852771 -0.2746545 -0.23747019 -0.039713237 -0.45371719 -0.2931536 -0.18697858 -0.28535159 -0.16322391 -0.083012895 -0.33790803 -0.4493405
