"tBodyAcc.mean...X" "tBodyAcc.mean...Y" "tBodyAcc.mean...Z" "tGravityAcc.mean...X" "tGravityAcc.mean...Y" "tGravityAcc.mean...Z" "tBodyAccJerk.mean...X" "tBodyAccJerk.mean...Y" "tBodyAccJerk.mean...Z" "tBodyGyro.mean...X" "tBodyGyro.mean...Y" "tBodyGyro.mean...Z" "tBodyGyroJerk.mean...X" "tBodyGyroJerk.mean...Y" "tBodyGyroJerk.mean...Z" "tBodyAccMag.mean.." "tGravityAccMag.mean.." "tBodyAccJerkMag.mean.." "tBodyGyroMag.mean.." "tBodyGyroJerkMag.mean.." "fBodyAcc.mean...X" "fBodyAcc.mean...Y" "fBodyAcc.mean...Z" "fBodyAccJerk.mean...X" "fBodyAccJerk.mean...Y" "fBodyAccJerk.mean...Z" "fBodyGyro.mean...X" "fBodyGyro.mean...Y" "fBodyGyro.mean...Z" "fBodyAccMag.mean.." "fBodyBodyAccJerkMag.mean.." "fBodyBodyGyroMag.mean.." "fBodyBodyGyroJerkMag.mean.."
"126" 0.35845532 0.017975385 -0.084159118 0.93118552 -0.25003777 -0.026669006 0.23524531 -0.087284312 -0.23250059 -0.032727859 -0.11106165 0.13546298 -0.068313628 0.019193884 0.025862246 -0.17044085 -0.17044085 -0.31348196 -0.38014863 -0.45928239 -0.24857354 -0.1698128 -0.48820241 -0.21539579 -0.23152799 -0.57063166 -0.52783791 -0.34781888 -0.19086405 -0.14707763 -0.11489946 -0.40003775 -0.46003811
"127" 0.30171512 -0.0070493914 -0.093681451 0.94706198 -0.2304889 -0.0155516 0.064722433 0.019143688 -0.037653854 -0.073423786 -0.081083025 0.1117395 -0.079846005 -0.08974041 -0.12244491 -0.048825749 -0.048825749 -0.18847274 -0.3181541 -0.36506094 -0.17155168 -0.16374627 -0.42169445 -0.14876378 -0.21708516 -0.44383374 -0.61867965 -0.077744072 -0.27034612 -0.053807078 -0.086251433 -0.18574668 -0.19595375
"128" 0.28155172 -0.016110289 -0.14009252 0.95929939 -0.2204156 -0.014579347 -0.050868561 0.16601337 0.086215546 -0.47705274 0.18064775 0.093745681 -0.3488186 -0.18934058 0.016560915 -0.088540677 -0.088540677 -0.16234534 -0.034722567 -0.27607448 -0.14857717 0.0080386219 -0.3152888 -0.13415157 -0.12647272 -0.32703112 -0.26821229 0.03699957 -0.13424218 -0.026763659 -0.052287846 -0.016616702 -0.12881429
"129" 0.27395574 -0.022899292 -0.12725614 0.95898314 -0.21665616 -0.031045351 0.05093887 -0.11138792 -0.0045744093 -0.44452444 0.16884428 0.074028573 0.061554017 -0.202781 -0.017391151 -0.098690394 -0.098690394 -0.14837988 -0.0017205241 -0.33121028 -0.15229657 0.14202752 -0.30789359 -0.16536099 -0.029612298 -0.32513413 -0.23584916 -0.092314472 -0.13150633 0.13857762 -0.06871901 -0.21859904 -0.3306513
"130" 0.29995717 0.014082123 -0.082310404 0.9494625 -0.2174464 -0.036024083 0.04067403 0.10214726 -0.035983861 0.076307669 -0.13980936 0.062390004 -0.094600569 0.09716612 -0.019976938 0.028422451 0.028422451 -0.051003762 -0.20791661 -0.36898401 0.018727258 0.099339036 -0.21460601 -0.036822523 -0.039324985 -0.24059704 -0.43758418 -0.20368179 -0.1379991 0.24844729 0.028128341 -0.39392654 -0.47817554
"131" 0.26537379 -0.017156211 -0.13877347 0.95466327 -0.20692497 -0.027482422 0.080449991 0.018496228 -0.037398315 -0.1756098 -0.024263868 0.08926469 -0.1828356 0.036192498 -0.11314593 0.080265708 0.080265708 -0.01073734 0.0084415748 -0.26151775 0.086303779 0.14766293 -0.21015915 0.079016112 -0.0037995676 -0.23679741 -0.25552477 -0.081013533 0.078356584 0.26861036 0.15583162 -0.14205179 -0.30568085
"132" 0.27763311 -0.03726758 -0.10002093 0.95827116 -0.20727327 -0.036413327 0.061859802 -0.20504519 0.05761467 0.00062389575 -0.096132919 0.054364145 0.16404521 -0.34460911 -0.039105794 -0.025681958 -0.025681958 -0.11114242 0.069394797 -0.30103766 -0.055009237 0.041001909 -0.20084382 -0.020058835 -0.057405286 -0.23216591 -0.16686224 -0.01523374 0.040856096 0.15786558 0.1285087 -0.18616832 -0.26776962
"133" 0.26688016 -0.0023073023 -0.063727153 0.94976646 -0.21600426 -0.031406912 0.09544382 0.16894412 -0.0010016119 0.44757285 -0.3071686 0.1179795 -0.060712847 0.076541275 -0.093312803 -0.07035973 -0.07035973 -0.20389863 -0.13360978 -0.41581756 -0.12912158 -0.19194118 -0.23693541 -0.16768768 -0.22925734 -0.23553489 -0.62279831 -0.22042573 -0.10869669 0.010734004 -0.0068252185 -0.3709736 -0.40817548
"134" 0.21070047 -0.005968762 -0.1095915 0.95162211 -0.21071237 -0.0134879 0.15173592 0.14464377 0.030320037 0.29464233 -0.20698692 0.12148223 -0.27003834 0.08830886 -0.13186724 -0.077787454 -0.077787454 -0.19375257 -0.25489683 -0.38640437 -0.10358763 -0.14815131 -0.26134633 -0.1497194 -0.24764121 -0.20720872 -0.60635286 -0.12346575 -0.16074287 -0.054364745 -0.060360287 -0.354428 -0.38010682
"135" 0.28521305 -0.020202459 -0.011024206 0.92083549 -0.26701193 -0.051933496 0.68795324 -0.44195853 -0.58961367 -0.4128569 0.18260599 0.15337268 0.19139611 0.4794505 -0.14280977 0.13335858 0.13335858 0.032565846 -0.066701101 -0.21706544 0.21706998 0.19051776 0.16518534 0.19038622 -0.0038993162 0.096521527 -0.42428907 0.17353315 -0.035426948 0.37743229 0.3516744 -0.0011116165 -0.045316739
