"tBodyAcc.mean...X" "tBodyAcc.mean...Y" "tBodyAcc.mean...Z" "tGravityAcc.mean...X" "tGravityAcc.mean...Y" "tGravityAcc.mean...Z" "tBodyAccJerk.mean...X" "tBodyAccJerk.mean...Y" "tBodyAccJerk.mean...Z" "tBodyGyro.mean...X" "tBodyGyro.mean...Y" "tBodyGyro.mean...Z" "tBodyGyroJerk.mean...X" "tBodyGyroJerk.mean...Y" "tBodyGyroJerk.mean...Z" "tBodyAccMag.mean.." "tGravityAccMag.mean.." "tBodyAccJerkMag.mean.." "tBodyGyroMag.mean.." "tBodyGyroJerkMag.mean.." "fBodyAcc.mean...X" "fBodyAcc.mean...Y" "fBodyAcc.mean...Z" "fBodyAccJerk.mean...X" "fBodyAccJerk.mean...Y" "fBodyAccJerk.mean...Z" "fBodyGyro.mean...X" "fBodyGyro.mean...Y" "fBodyGyro.mean...Z" "fBodyAccMag.mean.." "fBodyBodyAccJerkMag.mean.." "fBodyBodyGyroMag.mean.." "fBodyBodyGyroJerkMag.mean.."
"151" 0.18360372 -0.076558729 -0.0469561 0.93935459 -0.28099607 -0.07822989 0.25879203 0.11938596 -0.20514992 0.22105528 -0.26354507 0.034448107 -0.21559862 0.034228727 -0.015072922 -0.14452122 -0.14452122 -0.46148363 -0.21757019 -0.55426811 -0.41639013 -0.2914366 -0.36168731 -0.47758607 -0.49015987 -0.65764263 -0.60306889 -0.27191669 -0.52365016 -0.36359019 -0.4904 -0.2970371 -0.57511456
"152" 0.27918273 -0.036965677 -0.13360426 0.90782845 -0.31639379 -0.062484236 0.14865938 0.058634665 -0.15441992 0.091549563 -0.18404312 0.046616661 -0.12499571 0.13402323 0.13770608 -0.18075029 -0.18075029 -0.49228098 -0.28230236 -0.58040867 -0.4262804 -0.38327959 -0.43699429 -0.50412932 -0.54737783 -0.67459405 -0.67117355 -0.29472796 -0.49543674 -0.43064914 -0.54520291 -0.33024104 -0.61904102
"153" 0.30116241 -0.0017592965 -0.10683037 0.90332145 -0.32878069 -0.069753369 0.089970801 -0.29167396 -0.14793367 0.40149417 -0.50093651 -0.1189745 0.087295897 0.044658829 -0.15346846 -0.14245791 -0.14245791 -0.52451544 -0.050825995 -0.60543109 -0.44453 -0.11089469 -0.48044247 -0.55500288 -0.42551328 -0.72323358 -0.37867281 -0.29767153 -0.4213541 -0.40260435 -0.5545572 -0.22320431 -0.62926092
"154" 0.29341097 -0.018714518 -0.066159078 0.91286572 -0.32537586 -0.070078815 0.17672215 -0.35407112 -0.20845667 0.24186906 -0.27412717 0.0045285318 0.033336024 0.20174952 -0.37350114 -0.11472258 -0.11472258 -0.48636301 0.01382027 -0.57979101 -0.42771831 -0.031808768 -0.34873771 -0.55840113 -0.3478281 -0.67649459 -0.32960797 -0.19206845 -0.2925131 -0.27377158 -0.47714495 -0.17947438 -0.59404889
"155" 0.2303099 0.0021737117 -0.043103131 0.91968631 -0.32327736 -0.05372889 0.044047372 0.034498347 0.077557488 -0.11832106 0.04126577 0.17315412 -0.18886922 -0.48288693 0.041695922 -0.11354341 -0.11354341 -0.44091353 -0.1612053 -0.59808511 -0.45278287 -0.11292615 -0.38601337 -0.51057721 -0.3367146 -0.62817278 -0.52546982 -0.20783507 -0.39825521 -0.28953856 -0.37666461 -0.35349524 -0.61215107
"156" 0.15851651 0.0042561454 -0.018779209 0.91447109 -0.31989706 -0.032413446 0.086751502 0.56046755 0.091513098 0.10683702 -0.25461783 0.13459276 -0.2103659 -0.5925952 0.13401103 -0.1609031 -0.1609031 -0.50226961 -0.23450335 -0.62879004 -0.37183299 -0.071497805 -0.41272384 -0.46424586 -0.44435358 -0.66391868 -0.5254729 -0.20291786 -0.42291132 -0.37070225 -0.42254399 -0.21088529 -0.62753061
"157" 0.21524532 -0.032628002 -0.11896558 0.91307417 -0.31665935 -0.021065113 0.19465492 0.26031767 -0.028742135 -0.11332253 -0.067416287 0.18475287 -0.24143193 0.070908552 -0.076358357 -0.15544653 -0.15544653 -0.47607678 -0.21470421 -0.56066451 -0.4228953 -0.16838658 -0.34817298 -0.4537482 -0.47256833 -0.61788226 -0.50433324 -0.22869874 -0.5055717 -0.38352427 -0.42805973 -0.27724782 -0.55528917
"158" 0.27147742 -0.030746091 -0.15623238 0.91214896 -0.32596046 -0.035425357 0.07065462 0.070539535 -0.006408421 -0.41215344 0.20241838 0.15120201 -0.15688387 -0.0091031486 0.026084993 -0.13659556 -0.13659556 -0.4445107 -0.15770558 -0.551105 -0.43320337 -0.29067925 -0.37765783 -0.44641137 -0.42329991 -0.61701867 -0.6298359 -0.30202768 -0.50807548 -0.43319269 -0.4029909 -0.32987725 -0.56739301
"159" 0.14085877 -0.068261729 -0.072115723 0.93206988 -0.31920065 -0.063759757 0.26743742 -0.070566748 0.075912557 0.21415459 -0.27289173 0.027375306 0.022401798 -0.060417603 -0.085348317 -0.088105584 -0.088105584 -0.39356298 -0.21782907 -0.5670185 -0.3085734 -0.28708183 -0.42342398 -0.3655635 -0.49881331 -0.64912616 -0.52452793 -0.33727667 -0.55557262 -0.25736165 -0.41310842 -0.36221134 -0.65467049
"160" 0.23145946 -0.013340312 -0.092367982 0.90583998 -0.35284871 -0.058087649 0.086863388 -0.026759419 0.099981145 0.15742021 -0.19015615 0.046324812 0.047823128 -0.092770022 -0.17062433 -0.15356809 -0.15356809 -0.48220575 -0.25776972 -0.56211832 -0.41892304 -0.3707564 -0.4474072 -0.50152755 -0.53259619 -0.68802267 -0.50841127 -0.31870207 -0.5506291 -0.39802363 -0.47109933 -0.33236299 -0.65216017
